symbol,date,price,games,total,avg
2008,Jun,11,3,14,0
2008,Jul,996,326,1322,43
2008,Aug,1,069,334,1403,45
2008,Sep,1475,465,1940,63
2008,Oct,2063,596,2659,86
2008,Nov,2312,674,2986,96
2008,Dec,2971,817,3788,122
2009,Jan,3852,892,4744,153
2009,Feb,4933,1051,5984,193
2009,Mar,5435,1212,6647,214
2009,Apr,7258,1436,8694,280
2009,May,6538,1411,7949,256
2009,Jun,9087,1569,10656,344
2009,Jul,8654,1532,10186,329
2009,Aug,9682,1936,11618,375
2009,Sep,10826,2082,12908,416
2009,Oct,10013,1988,12001,387
2009,Nov,11139,2015,13154,424
2009,Dec,22428,3383,25811,833
2010,Jan,19407,2528,21935,708
2010,Feb,17908,2557,20465,660
2010,Mar,16940,2509,19449,627
2010,Apr,16604,3271,19875,641
2010,May,15759,2292,18051,582
2010,Jun,16746,2700,19446,627
2010,Jul,16910,2593,19503,629
2010,Aug,17260,2869,20129,649
2010,Sep,15166,2320,17486,564
2010,Oct,17521,2852,20373,657
2010,Nov,16483,2620,19103,616
2010,Dec,21607,4393,26000,839
2011,Jan,15898,2932,18830,607
2011,Feb,14644,3260,17904,578
2011,Mar,16931,3686,20617,665
2011,Apr,17163,3569,20732,669
2011,May,15861,2902,18763,605
2011,Jun,17747,3472,21219,684
2011,Jul,15826,3282,19108,616
2011,Aug,17933,3813,21746,701
2011,Sep,17597,3487,21084,680
2011,Oct,17914,3089,21003,678
2011,Nov,16958,3129,20087,648
2011,Dec,19227,4744,23971,773
2012,Jan,18743,3818,22561,728
2012,Feb,17773,3457,21230,685
2012,Mar,21249,4083,25332,817
2012,Apr,21774,4181,25955,837
2012,May,23058,4216,27274,880
2012,Jun,18826,3565,22391,722
2012,Jul,17755,3490,21245,685
2012,Aug,18944,3646,22590,729
2012,Sep,22862,4175,27037,872
2012,Oct,23247,3887,27134,875
2012,Nov,24613,3978,28591,922
2012,Dec,22752,4880,27632,891
2013,Jan,24851,4148,28999,935
2013,Feb,22053,3778,25831,833
2013,Mar,24047,4467,28514,920
2013,Apr,25679,4777,30456,982
2013,May,26291,4688,30979,999
2013,Jun,21666,3913,25579,825
2013,Jul,23403,4697,28100,906
2013,Aug,22098,4607,26705,861
2013,Sep,26005,4545,30550,985
2013,Oct,27451,5268,32719,1169
